абажур, абажурчик
бричечный, бричка
бродильный, брожение
бродяга, бродяжий
броневой, броня
бронхи, бронхиальный
брошюровальный, брошюрование
брусок, брусочек
бруцеллёз, бруцеллёзный
брыжеечный, брыжейка
брынза, брынзовый
брюхо, брюшной
бубновый, бубны
бугель, бугельный
будара, бударка
буддизм, буддийский
буддист, буддистский
будни, будний
бузотёр, бузотёрский
буй, буйковый
буква, буквочка
буквализм, буквалистский
букли, букольки
букса, буксовый
буксир, буксирчик
булавка, булавочка
булка, булочный
бульвар, бульварчик
бульдог, бульдожий
бумагопрядение, бумагопрядильный
бумазейный, бумазея
бунд, бундовский
бундесвер, бундесверовский
бункеровка, бункеровочный
бунт, бунтовой, бунтовской
бунтарский, бунтарь
бурав, буравчатый
бургомистерский, бургомистр
буревой, буря
бурелом, буреломный
бурение, бурильный, буровой
буржуазия, буржуазный
бурлак, бурлацкий
бурмистр, бурмистрский
бурнус, бурнусик
бурсак, бурсацкий
бурт, буртовой
бурундук, бурундучий, бурундучок
бут, бутовый
бутафория, бутафорский
буфет, буфетик
буффонада, буффонадный
бухгалтерия, бухгалтерский
бучение, бучильный
бык, бычачий, бычий, бычок
бытие, бытийный
бычковый, бычок
бюрократизм, бюрократический
бюст, бюстик
бязевый, бязь
вагон, вагончик
ваза, вазовый
вазомоторный, вазомоторы
вал, валик, валовой
валенки, валеночки, валеночный
валериана, валериановый
валки, валковый
валторна, валторновый
валух, валушок
вальдшнеп, вальдшнепиный
вальс, вальсовый
ванадиевый, ванадий
ванадий, ванадистый
вантовый, ванты
варнак, варнацкий
варяги, варяжский
васильковый, василёк
вассал, вассальский
вассальный, вассальство
вата, ватный
ватага, ватажный
ватерполо, ватерпольный
ватрушечка, ватрушка
ватрушечный, ватрушка
вафельный, вафля
вахлак, вахлацкий
вахта, вахтенный, вахтовый
вахтёр, вахтёрский
ваяние, ваятельный
вдавлина, вдавлинка
вдова, вдовий
ведомостичка, ведомость
ведомственный, ведомство
ведро, ведёрко, ведёрный, ведёрышко
ведьма, ведьмовский
великомученик, великомученический
велосипед, велосипедный
вельбот, вельботный
вельможа, вельможеский
вена, венозный
венец, венечный, венчик
вензелевый, вензель
веник, веничный
веранда, верандный
верба, вербовый, вербочка
верблюд, верблюжий
веретено, веретённый, веретёнце
вернисаж, вернисажный
версификационный, версификация
верста, верстовой
верстак, верстачок
вертел, вертельный
вертлуг, вертлужный
вертлюг, вертлюжный
вертоград, вертоградный
вертолёт, вертолётный
верхи, вершки
верхушечка, верхушка
вершина, вершинка
верёвка, верёвочка, верёвочный
вес, увесистый
весельце, весло
весенний, весна
весло, весёлко
весовой, весы
весочки, весы
ветер, ветровой, ветряной
ветеринария, ветеринарный
ветла, ветловый
вече, вечевой
вечер, вечерний
вещевой, вещи
вещественный, вещество, вещь
взгорок, взгорочек
взлёт, взлётный
виадук, виадучный
вибропрокат, вибропрокатный
вигониевый, вигонь
вид, видик
видеокассета, видеокассетный
видеомагнитофон, видеомагнитофонный
видеотелефон, видеотелефонный
визит, визитный
вика, виковый
вилковый, вилок
винегрет, винегретный
виноград, виноградовый
виноградник, виноградниковый
виноделие, винодельческий
виноторговля, виноторговый
винтовка, винтовочка
винтокрыл, винтокрылый
вирусный, вирусы
виселица, виселичный
висок, височек
витализм, виталистический
витраж, витражный
вихор, вихорчик
вихревой, вихрь
вице, вице-адмиральский, вице-губернаторский, вице-президентский
вишенка, вишня
вишня, вишнёвый
внедрение, внедренческий
внук, внучек, внучонок
внученька, внучка
вода, водяной
водогрей, водогрейный
водомоина, водомойный
водонагреватель, водонагревательный
водорослевый, водоросли
водоём, водоёмный
воевода, воеводский
военком, военкомовский
военкомат, военкоматовский
военкор, военкоровский
военный, война
вождизм, вождистский
воз, возик
возвышение, возвышеньице
воздух, воздушный
воздухообмен, воздухообменный
возраст, повозрастный
войско, войсковой
вокзал, вокзальчик
вол, воловий
волевой, воля
волк, волчий, волчок
волновой, волны
волок, волоковой
волокно, волоконце
волонтёр, волонтёрский
волос, волосяной
волоски, волосы
волосы, волосёнки
вопрос, вопросик
вор, воровской
воробей, воробейчик, воробушек, воробьиный, воробьишка
ворона, вороний
воронка, вороночка
ворота, воротца
воспламенение, воспламенительный
воспроизведение, воспроизводительный
воспроизводственный, воспроизводство
впадина, впадинка
враг, вражеский
вратарский, вратарь
временной, время
вселенная, вселенский
всполье, вспольный
вспольный, вспольё
вспышечный, вспышка
вставка, вставочка
всячина, всячинка
втуз, втузовский
втулка, втулочка
вуалевый, вуаль
вуз, вузовский
вулкан, вулканный
вулканизм, вулканический
выбленки, выбленочный
выбоина, выбоинка
выбойка, выбойчатый
выборный, выборы
выдра, выдровый
выдыхание, выдыхательный
выкидки, выкидной
выкроечка, выкройка
выплата, выплатной
выпоротковый, выпороток
вырождение, вырожденческий
выростковый, выросток
вырубание, вырубной
выстилка, выстилочный
вытрезвительный, вытрезвление
выход, выходной
выхухолевый, выхухоль
вычисление, вычислительный
вышечка, вышка
выщербина, выщербинка
вьюн, вьюнок
вьюшечка, вьюшка
вьюшечный, вьюшка
вяз, вязок
вязальный, вязание
вязанка, вязаночка
габаритный, габариты
гаванский, гавань
гага, гагачий
гагара, гагарий
гадюка, гадючка
гаечный, гайка
газгольдер, газгольдерный
газелий, газель
газон, газончик
гайдамак, гайдамацкий
гайдук, гайдуцкий
галантерейный, галантерея
галера, галерный
галерейка, галерея
галерейный, галерея
галетный, галеты
галечник, галечниковый
галечный, галька
галка, галочий
галл, галльский
галлюцинаторный, галлюцинация
галоп, галопный
галоши, галошный
галстук, галстучек
гальванопластика, гальванопластический
галёрка, галёрочный
гамак, гамачный
гангрена, гангренозный
гандбол, гандбольный
ганза, ганзейский
гантель, гантельный
гарантийный, гарантия
гардина, гардинка, гардинный
гаревый, гарь
гармонный, гармонь
гармошечный, гармошка
гарнец, гарнцевый
гарный, гарь
гаршнеп, гаршнеповый
гастрит, гастрический
гастроли, гастролёрский, гастрольный
гаубица, гаубичный
гафель, гафельный
гваюла, гваюловый
гвоздевой, гвоздь
гвоздик, гвоздь
гвоздильный, гвоздь
гегемонизм, гегемонистский
гедонизм, гедонистический
геенна, геенский
гекзаметр, гекзаметрический
гексахлоран, гексахлорановый
гектар, гектарный
гектограф, гектографский
гектографирование, гектографический
гелиогеофизика, гелиогеофизический
гелиофизика, гелиофизический
гематит, гематитовый
гемолиз, гемолитический
генезис, генетический
генерал, генерал-адмиральский, генерал-адъютантский, генерал-аншефский, генерал-губернаторский, генерал-лейтенантский, генерал-майорский
генштаб, генштабовский
генштабист, генштабистский
геоботаника, геоботанический
геогнозия, геогностический
геокриологический, геокриология
геологический, геология
геомагнетизм, геомагнитный
геополитика, геополитический
гераниевый, герань
герань, геранька
гербицид, гербицидный
гериатрический, гериатрия
германофил, германофильский
герольдия, герольдмейстерский
геронтологический, геронтология
гестапо, гестаповский
гетерозис, гетерозисный
гешефтмахерский, гешефтмахерство
гигиена, гигиенический
гидромелиоративный, гидромелиорация
гидрометаллургический, гидрометаллургия
гидропоника, гидропонный
гильдейский, гильдия
гильза, гильзовый
гимн, гимнический
гимназист, гимназистик
гимназистка, гимназисточка
гипербола, гиперболический
гиперболоид, гиперболоидный
гипноз, гипнотический
гипнопедический, гипнопедия
гипокинезия, гипокинетический
гипоксический, гипоксия
гиревой, гиря
гироскоп, гироскопический
гитлеризм, гитлеровский
глава, главка
главк, главковский
глагол, глагольный
глаголица, глаголический
глаз, глазок
глаза, глазной
глина, глиняный
глинозём, глинозёмный
глиссер, глиссерный
глухарь, глухарёк
глыба, глыбистый, глыбовый
гнездо, гнездовой, гнёздышко
гнида, гнидный
гном, гномик
гнома, гномический
гностицизм, гностический
гобой, гобойный
говядина, говяжий
гоголиный, гоголь
гоголь, гоголёк
гол, голевой
голавлевый, голавль
голавлик, голавль
голец, гольцовый
голик, голичок
голица, голичка
голова, головёнка, головка, головочка
головня, головнёвый
головорез, головорезный
голограмма, голограммный
голографический, голография
гололедица, гололедичный
гололёд, гололёдный
голомянка, голомянковый
голос, голосишко, голосовой
голубика, голубичный
голубка, голубочка
голубок, голубь
голубёнок, голубёночек
гольевой, гольё
гольф, гольфовый
гольцовый, гольцы
гомосексуализм, гомосексуальный
гондола, гондольный
гонки, гоночный
гонококки, гонококковый
гонорейный, гонорея
гонт, гонтовой
гора, горка
горб, горбик, горбок
горбина, горбинка
горбун, горбунок
горбуша, горбушечий
горбушечка, горбушка
горец, горский
горечавка, горечавковый
горком, горкомовский
горлица, горличий
горло, горловой
гормональный, гормоны
горн, горновой
горностаевый, горностай
горняк, горняцкий
городки, городошный
городнический, городничий
гороскоп, гороскопический
горшечный, горшок
горячечный, горячка
господа, господский
гостевой, гость
гостинец, гостинчик
гостиница, гостиничный
гостиный, гость
государственный, государство
грабельный, грабли
гравюра, гравюрный
гравёр, гравёрный
град, градовой
градина, градинка
градирный, градирня
градобой, градобойный
гражданин, гражданский
граната, гранатка, гранатный
гранатомёт, гранатомётный
гранение, гранильный
граница, граничный
гранула, гранулярный
гранулометрический, гранулометрия
графика, графичный
графин, графинный, графинчик
графоман, графоманский
грач, грачиный
гребенной, гребень
гребень, гребешковый, гребешок, гребневой
гребешковый, гребешок
гребля, гребной
гречиха, гречишный
гриб, грибок
грива, гривка
гримёр, гримёрский
грипп, гриппозный
гроб, гробик
гробокопатель, гробокопательный
гроденаплевый, гроденапль
гродетур, гродетуровый
гроздный, гроздь
гром, громовой
грот, гротный, гротовый
грохот, грохоток
грубиян, грубиянский
груда, грудка
грудинка, грудинковый
грудка, грудь
грудник, грудничок
груздок, груздь
груздь, груздёвый
грузовик, грузовичок
грузчик, грузчицкий
грунт, грунтовой
группа, группка
груша, грушка
грушанка, грушанковый
грыжа, грыжевой
гряда, грядка
грядка, грядковый
грязевой, грязь, грязи
губа, губёнка, губка
губерния, губернский
гувернантка, гувернантский
гувернёр, гувернёрский
гудок, гудочек
гуж, гужевой, гужик
гуменце, гумно
гумма, гуммозный
гумно, гумённый
гусак, гусачий
гусар, гусарик
гусеводство, гусеводческий
гусельки, гусли
гусельный, гусли
гуситский, гуситы
гусли, гуслярный
гусь, гусёк
гуттаперча, гуттаперчевый
даба, дабовый
дагерротипия, дагерротипный
дактилический, дактиль
дальномер, дальномерный
дама, дамский
дантист, дантистский
дармоед, дармоедный
датчик, датчиковый
дача, дачный
дверной, дверь
двигательный, движение
движковый, движок
двоевластие, двоевластный
двоетёс, двоетёсный
двойник, двойниковый
двойчатка, двойчатый
дворец, дворцовый
дворник, дворницкий
дворянский, дворянствои
двугривенник, двугривенничек
дебаркадер, дебаркадерный
дева, девий
девиза, девизный
девица, девический, девичий
девочка, девчачий, девчурка
девясил, девясильный
дегенеративный, дегенерация
дегтевой, дёготь
дегтярный, дёготь
дегустатор, дегустаторский
дед, дедовский
дедерон, дедероновый
дедовский, деды
дедуктивный, дедукция
деепричастие, деепричастный
дежа, дёжка
дезорганизаторский, дезорганизация
деизм, деистический
деисус, деисусный
декабристский, декабристы
декада, декадный
деканат, деканатский
декомпрессионный, декомпрессия
декоратор, декораторский
делопроизводственный, делопроизводство
дельта, дельтовый
дельфин, дельфиний
демон, демонический
денатурат, денатуратный
дендритный, дендриты
денежный, деньги
денной, день
денщик, денщицкий
день, дневной
депо, деповский
депрессивный, депрессия
дератизационный, дератизация
дервиш, дервишский
дергач, дергачиный
деревенский, деревня
дерево, древесный
дернина, дернинка
дерновина, дерновинка
дерновый, дёрн
деррик, дерриковый
дерюга, дерюжный
десна, дёсенный
дестевой, десть
детдом, детдомовский
детерминизм, детерминистический
дети, детишки, детки, детский
детонатор, детонаторный
детсад, детсадовский
дефектовка, дефектовочный
дехканин, дехканский
джейран, джейраний
джем, джемовый
джемпер, джемперок
джерси, джерсовый
джигит, джигитский
дзюдоист, дзюдоистский
диабет, диабетический
диагоналевый, диагональ
диаграмма, диаграммный
диалог, диалогический
диатез, диатезный
диафрагма, диафрагмальный
диахронический, диахрония
дивидендный, дивиденды
дидактизм, дидактичный
диета, диетический
дизайнер, дизайнерский
дизентерийный, дизентерия
дикарский, дикарь
дикобраз, дикобразий
диктофон, диктофонный
диоптр, диоптренный
диорама, диорамный
диплококки, диплококковый
директор, директорский
дирижабельный, дирижабль
дирижаблестроение, дирижаблестроительный
дирижёр, дирижёрский
дискомфорт, дискомфортный
дискотека, дискотечный
диссимилятивный, диссимиляция
диссимиляционный, диссимиляция
диссонанс, диссонансный
дистилляционный, дистилляция
дистрибутивный, дистрибуция
дисциплина, дисциплинарный
дифирамб, дифирамбический
дифтерийный, дифтерия
дифтонг, дифтонгический
дичковый, дичок
диэлектрик, диэлектрический
дневник, дневниковый
днище, днищевый
дно, донце, придонный
доброволец, добровольческий
догматизм, догматичный
доделка, доделочный
дож, дожеский
дождевой, дождь
дождик, дождичек
дожинки, дожиночный
докембрий, докембрийский
докер, докерский
доклад, докладчик
доктринёр, доктринёрский
документ, документальный
дол, дольний
долевой, доля
долечка, доля
долина, долинка
долотечко, долото
долотный, долото
долото, долотцо
дом, домашний, домовый
домбра, домбровый
доменка, домна
доменный, домна
доминиканский, доминиканцы
домино, доминошный
домовладельческий, домовладение
домоседный, домоседство
домоуправление, домоуправленческий
дорога, дорожный
дортуар, дортуарный
дочерний, дочь
драбант, драбантский
драдедам, драдедамовый
дракон, драконов
драма, драматический
драница, драничка, драничный
дратва, дратвенный
дресва, дресвяный
дробовик, дробовичок
дробовой, дробь
дрова, дровяной
дровешки, дровни
дрожечки, дрожки
дрожечный, дрожки
дрожжевой, дрожжи
дрофа, дрофиный
друг, дружеский
друза, друзовый
друидизм, друидический
дрягиль, дрягильский
дуализм, дуалистический
дуб, дубок
дубильный, дубление
дубляж, дубляжный
дублёр, дублёрский
дубняк, дубнячок
дубрава, дубравка, дубравный
дуга, дуговой
дудка, дудочка
дуло, дульный, дульце
дунит, дунитовый
дупелиный, дупель
дупло, дупляной
дура, дурашка
дурак, дурацкий
дуринка, дурь
дурнота, дурнотный
дутьевой, дутьё
душ, душевой
душа, душевный, душевой, душенька, душка
душегубный, душегубство
дуэт, дуэтик
дымка, дымковый
дымоход, дымоходный
дынный, дыня
дынька, дыня
дышло, дышловой
дьявол, дьяволёнок, дьявольский
дьяк, дьяческий, дьячий
дьякон, дьяконовский
дьячковский, дьячок
дюкер, дюкерный
дюнный, дюныи
дягиль, дягильный
дёготный, дёготь
дёрен, дёреновый
егерский, егерь
еда, съестной
единобрачие, единобрачный
единодержавие, единодержавный
ежиный, ёж
ельник, ельничек
епанечка, епанча
епархиальный, епархия
епитимийный, епитимья
епитрахиль, епитрахильный
ересь, еретический
ермолка, ермолочка
ершиный, ёрш
ершовый, ёрш
есаул, есаульский
естествоведение, естествоведческий
естествоиспытатель, естествоиспытательский
ефимковый, ефимок
жаба, жабий
жаберный, жабры
жаворонковый, жаворонок
жаворонок, жавороночек
жалейка, жалейковый
жало, жальный, жальце
жалонёр, жалонёрский
жалюзи, жалюзийный
жандармерия, жандармский
жар, жаровой
жардиньерка, жардиньерочный
жарение, жарочный
жаровенка, жаровня
жаровенный, жаровня
жатва, жатвенный
жезл, жезловой
желвак, желвачок
желе, желейный
железа, железистый, желёзка
желобовой, жёлоб
желобок, жёлоб
желтковый, желток
желток, желточек
желтуха, желтушный
желудок, желудочек
желудочек, желудочковый
желудёвый, жёлудь
жеманник, жеманнический
жених, жениховский
жено2, женоненавистнический
женьшеневый, женьшень
жердевой, жердь
жердина, жердинка
жердь, жёрдочка
жеребец, жеребцовый, жеребчик
жеребковый, жеребок
жеребьёвка, жеребьёвый
жеребячий, жеребёнок
жерлица, жерличный
жерновой, жёрнов
жерновок, жёрнов
жертвоприносительный, жертвоприношение
жест, жестик
жесть, жестяной
жестянка, жестяночка
живот, животишко
животина, животинка
животноводство, животноводческий
жид, жидовский
жизненный, жизнь
жила, жильный
жилет, жилетик
жилетка, жилеточка
жилец, жильцовский
жираф, жирафий
житель, жительский
житие, житийный
житный, жито
жом, жомовый
жонглёр, жонглёрский
жрец, жреческий
жужелица, жужеличный
жуир, жуирский
жук, жучий, жучок
жупан, жупанный
жупел, жупельный
журавлик, журавль
журналистика, журналистический
забава, забавка
забой, призабойный
забойщик, забойщицкий
забор, заборик
забрало, забральный
завиток, завиточек
завком, завкомовский
завод, заводной
завхоз, завхозовский
завёртка, завёрточка
загадка, загадочка
загвоздка, загвоздочка
заглавие, заглавный
заговорщик, заговорщицкий
заголовок, заголовочек
загон, загончик
заготовительный, заготовка
загривок, загривочек
зад, задик
задаток, задаточек
задорина, задоринка
зазубрина, зазубринка
заинька, заяц
займовый, заём
зайчина, зайчинка
закваска, заквасочный
закладка, закладочка
заклинание, заклинательный
заклёпка, заклёпочный
закол, закольный
